SrNo, name, price, specifications, imagesLink, linkToPage
1,Mymax M40 Combo of Four Mobiles  (Black&Green$$Blue&Black$$Blue&Black$$Black&Green),₹1_998,32 MB RAM | 32 MB ROM | | 4.57 cm (1.8 inch) Display | 1.3MP Rear Camera | 1000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/ji0lbbk0/mobile/e/4/q/mymax-m40-combo-of-four-mobiles-m40-combo-of-four-mobiles-original-imaf5wucqbwgtn44.jpeg?q=70,https://www.flipkart.com/mymax-m40-combo-four-mobiles/p/itmf5wubuzprkmpr?pid=MOBF5UZH87JQAE4Q&srno=s_50_1178&otracker=search&lid=LSTMOBF5UZH87JQAE4QW1IQPQ&fm=organic&iid=0b8539c4-0b64-446b-9c7a-40cb3678b60c.MOBF5UZH87JQAE4Q.SEARCH&qH=532c28d5412dd75b
2,Mymax M40 Combo of Four Mobiles  (Black&Red$$Green&Black$$Black&Green$$Blue&Black),₹1_998,32 MB RAM | 32 MB ROM | | 4.57 cm (1.8 inch) Display | 1.3MP Rear Camera | 1000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/ji0lbbk0/mobile/q/x/p/mymax-m40-combo-of-four-mobiles-m40-combo-of-four-mobiles-original-imaf5wuchdtyxhhe.jpeg?q=70,https://www.flipkart.com/mymax-m40-combo-four-mobiles/p/itmf5wubuzprkmpr?pid=MOBF5UZHMJWXAQXP&srno=s_50_1179&otracker=search&lid=LSTMOBF5UZHMJWXAQXPSVOQM6&fm=organic&iid=b90b75ee-8f18-4edf-9d23-3666e7316c82.MOBF5UZHMJWXAQXP.SEARCH&qH=532c28d5412dd75b
3,Mymax M40 Combo of Four Mobiles  (Black&Red$$Black&Red$$Black&Green$$Black&Green),₹1_998,32 MB RAM | 32 MB ROM | | 4.57 cm (1.8 inch) Display | 1.3MP Rear Camera | 1000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/ji0lbbk0/mobile/t/w/b/mymax-m40-combo-of-four-mobiles-m40-combo-of-four-mobiles-original-imaf5wuc5j4cdtcx.jpeg?q=70,https://www.flipkart.com/mymax-m40-combo-four-mobiles/p/itmf5wubuzprkmpr?pid=MOBF5UZHQTQQZTWB&srno=s_50_1180&otracker=search&lid=LSTMOBF5UZHQTQQZTWBIGEJZW&fm=organic&iid=2d52cd00-6909-4980-8acd-6fd75d34257a.MOBF5UZHQTQQZTWB.SEARCH&qH=532c28d5412dd75b
4,Mymax M40 Combo of Four Mobiles  (Blue&Black$$Green&Black$$Green&Black$$Blue&Black),₹1_998,32 MB RAM | 32 MB ROM | | 4.57 cm (1.8 inch) Display | 1.3MP Rear Camera | 1000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/ji0lbbk0/mobile/u/4/3/mymax-m40-combo-of-four-mobiles-m40-combo-of-four-mobiles-original-imaf5wucuyzuhwpg.jpeg?q=70,https://www.flipkart.com/mymax-m40-combo-four-mobiles/p/itmf5wubuzprkmpr?pid=MOBF5UZHT72CCU43&srno=s_50_1181&otracker=search&lid=LSTMOBF5UZHT72CCU43NUWJPU&fm=organic&iid=906dd623-5e37-4b96-828d-21ca4b1c66d0.MOBF5UZHT72CCU43.SEARCH&qH=532c28d5412dd75b
5,Mymax M40 Combo of Four Mobiles  (Green&Black$$Blue&Black$$Green&Black$$Green&Black),₹1_998,32 MB RAM | 32 MB ROM | | 4.57 cm (1.8 inch) Display | 1.3MP Rear Camera | 1000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/ji0lbbk0/mobile/y/z/z/mymax-m40-combo-of-four-mobiles-m40-combo-of-four-mobiles-original-imaf5wucjg2nx4tz.jpeg?q=70,https://www.flipkart.com/mymax-m40-combo-four-mobiles/p/itmf5wubuzprkmpr?pid=MOBF5UZHFK6YYYZZ&srno=s_50_1182&otracker=search&lid=LSTMOBF5UZHFK6YYYZZPRHCNN&fm=organic&iid=b9bb5ec2-d484-40ba-8ecf-10b6cf9637e5.MOBF5UZHFK6YYYZZ.SEARCH&qH=532c28d5412dd75b
6,Mymax M40 Combo of Four Mobiles  (Green&Black$$Black&Red$$Green&Black$$Green&Black),₹1_998,32 MB RAM | 32 MB ROM | | 4.57 cm (1.8 inch) Display | 1.3MP Rear Camera | 1000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/ji0lbbk0/mobile/x/f/g/mymax-m40-combo-of-four-mobiles-m40-combo-of-four-mobiles-original-imaf5wucebnzeksg.jpeg?q=70,https://www.flipkart.com/mymax-m40-combo-four-mobiles/p/itmf5wubuzprkmpr?pid=MOBF5UZHU7CACXFG&srno=s_50_1183&otracker=search&lid=LSTMOBF5UZHU7CACXFGH96X7P&fm=organic&iid=60f2c80b-4999-4a6a-bb75-a5511109a623.MOBF5UZHU7CACXFG.SEARCH&qH=532c28d5412dd75b
7,Mymax M40 Combo of Four Mobiles  (Black&Green$$Green&Black$$Green&Black$$Black&Green),₹1_998,32 MB RAM | 32 MB ROM | | 4.57 cm (1.8 inch) Display | 1.3MP Rear Camera | 1000 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/ji0lbbk0/mobile/y/8/j/mymax-m40-combo-of-four-mobiles-m40-combo-of-four-mobiles-original-imaf5wuchdm7gmca.jpeg?q=70,https://www.flipkart.com/mymax-m40-combo-four-mobiles/p/itmf5wubuzprkmpr?pid=MOBF5UZHA7YXTY8J&srno=s_50_1184&otracker=search&lid=LSTMOBF5UZHA7YXTY8JSGYKZ0&fm=organic&iid=f9065cec-1ee3-4ed0-8a5d-fa950c12cb9d.MOBF5UZHA7YXTY8J.SEARCH&qH=532c28d5412dd75b
8,1+1=2 D10  (Blue),₹679,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 4.57 cm (1.8 inch) QVGA Display | 0.3MP Rear Camera | 1200 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/jkcwakw0/mobile/p/u/r/1-1-2-d10-d10-original-imaf7qcvysnunycy.jpeg?q=70,https://www.flipkart.com/1-1-2-d10/p/itmf7qcvbdvumpuk?pid=MOBF7Q5ZSYFNEPUR&srno=s_50_1185&otracker=search&lid=LSTMOBF7Q5ZSYFNEPURDT78ET&fm=organic&iid=c735f7ff-fb83-4d13-8ed9-9be64de9f6c5.MOBF7Q5ZSYFNEPUR.SEARCH&qH=532c28d5412dd75b
9,Comio S1 Lite (Sunrise Gold_ 32 GB)  (2 GB RAM),₹7_499,2 GB RAM | 32 GB ROM | Expandable Upto 128 GB | 12.7 cm (5 inch) HD Display | 13MP Rear Camera | 8MP Front Camera | 3050 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/jdyuefk0/mobile/e/h/t/comio-s1-lite-s1-lite-original-imaf2r9ehkkvsfqy.jpeg?q=70,https://www.flipkart.com/comio-s1-lite-sunrise-gold-32-gb/p/itmf2r8acdfnxnfw?pid=MOBF2QD94HHXAEHT&srno=s_50_1186&otracker=search&lid=LSTMOBF2QD94HHXAEHTI86DSP&fm=organic&iid=401dc35a-e796-4c53-be40-ed07c5d4c12b.MOBF2QD94HHXAEHT.SEARCH&qH=532c28d5412dd75b
10,Comio S1 Lite (Royal Black_ 32 GB)  (2 GB RAM),₹7_199,2 GB RAM | 32 GB ROM | Expandable Upto 128 GB | 12.7 cm (5 inch) HD Display | 13MP Rear Camera | 8MP Front Camera | 3050 mAh Battery | ,https://rukminim1.flixcart.com/image/832/832/jdyuefk0/mobile/e/b/u/comio-s1-lite-s1-lite-original-imaf2r9frhyswv5h.jpeg?q=70,https://www.flipkart.com/comio-s1-lite-royal-black-32-gb/p/itmf2r8acdfnxnfw?pid=MOBF2QD9R6MKKEBU&srno=s_50_1187&otracker=search&lid=LSTMOBF2QD9R6MKKEBUQKGQMX&fm=organic&iid=4aaa0521-a489-484c-a7ff-8ce2905d39af.MOBF2QD9R6MKKEBU.SEARCH&qH=532c28d5412dd75b
